wage,hours,IQ,educ,exper,tenure,age,married,black,meduc,feduc
769000,40,93,12,11,2,31,1,0,8,8
808000,50,119,18,11,16,37,1,0,14,14
825000,40,108,14,11,9,33,1,0,14,14
650000,40,96,12,13,7,32,1,0,12,12
562000,40,74,11,14,5,34,1,0,6,11
1400000,40,116,16,14,2,35,1,1,8,NA
6.00E+05,40,91,10,13,0,30,0,0,8,8
1081000,40,114,18,8,14,38,1,0,8,NA
1154000,45,111,15,13,1,36,1,0,14,5
1.00E+06,40,95,12,16,16,36,1,0,12,11
930000,43,132,18,8,13,38,1,0,13,14
921000,38,102,14,9,11,33,1,0,16,NA
9.00E+05,45,125,15,4,3,30,0,0,12,12
1318000,38,119,16,7,2,28,1,0,10,10
1792000,40,118,16,9,9,34,1,0,12,12
958000,50,105,10,17,2,35,1,0,6,8
1360000,45,109,15,6,9,36,1,0,12,10
850000,40,72,11,19,10,38,1,0,10,8
830000,44,105,14,4,7,29,1,0,12,NA
471000,44,101,12,13,7,31,1,0,8,NA
1275000,40,123,14,9,1,31,1,0,12,NA
1615000,50,113,16,10,4,36,1,0,12,12
873000,65,95,12,14,3,38,1,0,10,10
2137000,45,145,16,17,8,38,1,0,12,12
1053000,38,114,16,12,7,32,1,0,11,11
1602000,60,124,16,8,9,29,1,0,16,16
1188000,40,93,13,16,5,35,1,0,12,8
8.00E+05,40,115,18,11,1,35,1,0,8,8
1417000,48,125,17,9,4,34,1,0,13,12
635000,40,128,18,8,13,36,0,0,16,16
1.00E+06,40,103,12,17,2,34,1,0,8,NA
1424000,50,98,14,15,4,35,1,0,12,12
2668000,75,108,13,12,2,32,1,0,12,12
666000,75,129,18,8,12,38,1,0,18,18
1779000,40,132,17,8,9,32,1,0,17,14
782000,40,92,13,9,10,31,1,0,8,NA
1572000,35,108,14,7,5,28,1,1,12,8
1274000,40,106,13,11,12,31,1,0,15,12
714000,35,105,16,9,2,29,1,0,13,12
1081000,40,123,18,11,7,36,1,0,12,12
692000,40,108,12,21,11,38,1,0,8,7
1318000,38,122,17,10,9,33,1,0,12,8
1239000,45,109,12,16,4,38,1,0,12,NA
1027000,27,100,13,12,15,38,1,0,10,9
1748000,55,125,18,12,12,34,1,0,14,15
981000,40,122,14,9,15,35,0,0,12,NA
770000,40,105,17,7,11,30,1,0,12,12
1154000,50,94,16,11,5,33,1,0,12,12
1155000,40,102,12,16,5,34,1,0,12,NA
808000,60,109,13,14,12,38,1,0,12,10
1100000,40,105,12,22,14,38,1,0,12,12
1154000,40,134,18,10,10,37,1,0,12,12
1749000,40,108,12,13,9,29,0,0,12,9
1.00E+06,50,104,16,11,8,30,1,0,12,11
462000,40,112,12,11,1,29,1,0,12,NA
769000,55,120,18,8,12,32,0,0,11,8
875000,50,124,16,9,3,31,0,0,17,16
1375000,40,103,12,12,7,29,1,0,12,10
1452000,45,115,17,1,7,30,1,0,12,14
8.00E+05,40,96,12,17,12,35,1,0,6,8
1748000,55,123,17,10,7,36,1,0,12,12
1151000,40,98,12,12,12,29,1,0,12,8
840000,50,96,12,18,13,35,1,0,12,8
978000,45,89,12,17,2,38,1,0,12,NA
963000,40,109,12,15,15,37,0,0,NA,7
619000,42,93,12,10,10,28,0,0,9,11
442000,60,82,12,12,0,33,1,0,12,9
6.00E+05,40,120,15,12,1,38,1,0,12,NA
1366000,38,122,12,15,15,32,1,0,12,NA
1643000,48,117,18,8,2,33,1,0,12,18
1455000,40,109,16,8,13,36,1,0,8,8
2310000,40,114,18,12,7,38,1,0,12,16
1682000,45,126,16,10,11,31,1,0,12,16
1235000,40,82,12,10,2,33,1,0,11,11
855000,45,119,16,11,4,32,1,0,12,9
1072000,42,104,16,6,8,35,1,0,12,6
1040000,40,115,15,8,15,35,1,0,NA,11
1.00E+06,50,97,12,17,15,36,1,0,12,12
675000,40,105,15,8,2,31,1,0,14,12
1100000,37,100,12,14,1,30,1,0,7,7
996000,50,114,12,5,14,31,1,0,12,10
732000,40,73,10,17,5,36,1,0,NA,NA
1200000,40,96,11,15,3,37,1,0,8,8
1694000,30,113,15,9,8,29,0,0,12,16
686000,55,106,10,15,3,36,1,0,14,10
754000,40,104,13,9,5,32,1,0,8,NA
857000,35,80,10,14,15,33,1,0,NA,12
832000,50,104,13,4,2,30,1,0,12,8
579000,44,122,13,8,1,30,1,0,16,16
672000,61,96,12,13,3,34,1,0,12,13
2500000,40,95,15,12,9,36,1,0,16,16
1076000,45,105,12,5,8,31,0,0,16,17
750000,40,94,12,16,3,37,1,1,8,8
1186000,30,91,17,8,9,33,1,0,12,14
833000,48,96,16,9,7,31,1,0,12,14
650000,40,69,12,14,11,30,1,1,10,9
1250000,46,110,12,5,16,38,1,0,NA,12
1122000,48,111,15,12,9,31,1,0,9,12
865000,40,110,16,1,11,31,1,0,9,12
808000,40,97,16,10,7,29,1,0,9,12
1299000,60,125,18,6,12,35,0,0,8,8
903000,40,91,12,6,12,36,1,0,9,10
9.00E+05,40,86,12,17,15,37,1,0,8,10
625000,40,110,12,18,0,35,1,0,9,8
1586000,40,92,14,16,1,36,1,0,12,NA
962000,40,85,10,15,16,38,1,0,9,12
1539000,45,120,17,7,8,34,1,0,8,8
1110000,52,106,12,11,6,33,1,0,12,12
1282000,45,112,16,6,6,31,0,0,12,12
770000,48,91,12,13,2,38,1,0,10,8
1.00E+06,45,90,12,16,0,38,1,0,10,12
895000,40,86,9,17,16,38,1,1,NA,12
1205000,40,86,10,13,0,32,1,1,8,NA
750000,40,113,12,11,10,29,1,0,12,12
654000,50,111,13,5,16,38,1,0,12,9
601000,48,111,12,15,3,33,1,0,12,12
6.00E+05,40,106,13,10,11,28,1,0,8,7
433000,40,98,12,11,10,30,0,0,12,11
1188000,40,105,12,11,7,30,1,0,12,10
635000,40,105,12,15,15,33,1,0,10,NA
1225000,40,118,13,9,14,32,1,0,12,9
1151000,45,90,12,19,19,36,1,0,12,8
865000,40,95,12,15,11,32,0,0,9,8
1031000,40,112,14,9,5,29,1,0,12,12
1049000,55,120,12,9,11,32,1,0,12,10
1.00E+06,45,123,12,12,1,29,1,0,12,10
1105000,40,103,13,10,11,30,1,0,16,15
1924000,50,121,18,11,7,35,1,0,16,18
1346000,40,90,16,9,16,38,1,0,12,12
809000,65,125,12,11,10,29,1,0,12,12
1495000,45,109,18,10,3,32,1,0,9,8
1346000,50,128,16,10,1,33,0,0,10,9
1200000,40,97,12,10,4,31,1,0,12,12
5.00E+05,40,96,12,6,0,33,1,0,12,12
1325000,45,97,12,12,5,28,1,0,12,8
9.00E+05,40,78,12,16,5,33,1,1,7,6
8.00E+05,40,112,12,15,3,34,1,0,7,NA
8.00E+05,40,88,12,16,7,38,1,0,2,5
1034000,40,97,12,15,16,36,1,0,14,11
980000,40,101,12,4,12,36,1,0,6,9
884000,40,106,10,19,12,34,1,0,7,10
480000,40,59,10,11,5,34,0,0,8,6
923000,40,105,18,7,14,34,1,0,12,12
513000,45,119,17,8,5,31,0,0,12,8
1105000,40,93,11,17,16,37,0,0,8,8
1193000,50,82,12,19,10,36,1,0,12,NA
2771000,50,134,18,6,7,34,1,0,16,16
779000,40,84,12,9,6,30,1,0,8,12
950000,60,98,11,13,6,31,1,0,12,12
1394000,40,118,16,11,8,30,1,0,13,12
1495000,45,113,17,13,9,33,1,0,12,8
650000,40,100,12,4,3,28,1,0,9,11
670000,40,93,13,9,5,29,1,0,12,12
1126000,40,119,16,5,8,32,1,0,12,10
450000,64,67,12,11,1,33,0,1,11,4
1028000,40,111,12,19,12,37,1,1,12,NA
2404000,50,106,15,8,0,32,1,0,12,12
1899000,40,127,18,9,14,36,0,0,10,NA
757000,40,113,16,10,9,33,1,0,12,12
1250000,40,115,14,9,1,29,1,0,12,12
1162000,48,102,16,8,11,31,1,0,12,NA
1025000,40,85,15,9,13,29,1,1,14,12
1100000,50,117,16,11,12,32,1,0,12,10
714000,35,125,16,7,5,28,1,0,10,10
1318000,35,118,16,16,17,37,1,0,8,12
1411000,45,121,18,14,3,38,1,0,12,16
2162000,40,115,17,4,4,38,1,0,12,12
1273000,55,120,14,11,16,36,1,0,12,NA
1140000,48,109,12,16,15,35,1,0,11,6
578000,40,109,13,7,4,30,0,0,12,11
942000,40,85,12,7,10,38,1,0,NA,NA
1058000,40,85,12,17,8,38,1,0,12,NA
750000,40,106,14,9,9,29,1,0,11,10
1.00E+06,60,101,12,11,6,30,1,0,10,10
951000,60,116,12,9,7,30,1,0,12,9
635000,47,91,12,13,2,31,1,0,7,7
1250000,40,91,12,13,1,34,1,0,11,5
675000,40,110,12,6,15,34,1,0,7,NA
4.00E+05,40,75,12,11,6,32,1,0,7,12
577000,50,94,12,9,8,29,1,0,12,8
590000,40,109,13,10,7,29,1,0,12,12
923000,50,122,16,10,10,31,1,0,8,8
1250000,50,102,12,6,2,32,0,0,11,8
1100000,40,122,14,11,8,33,1,0,8,10
1130000,50,105,12,18,2,37,1,0,10,10
652000,50,113,12,14,4,36,0,0,9,9
618000,42,104,12,6,2,30,1,0,8,12
962000,50,124,16,7,14,34,1,0,9,11
529000,40,110,13,14,11,32,1,0,12,8
817000,40,95,12,16,14,33,1,0,12,12
962000,40,120,16,8,9,32,1,0,18,NA
840000,40,105,12,19,15,38,1,0,12,8
866000,40,121,16,7,4,28,1,0,12,12
2404000,50,96,14,1,1,36,1,0,8,10
1126000,40,110,12,16,2,32,1,0,9,12
1160000,40,92,12,8,8,31,1,0,12,11
723000,40,98,12,15,5,38,1,0,9,NA
1778000,40,109,16,14,13,36,1,0,11,12
1903000,48,118,18,13,5,36,1,0,11,11
1010000,40,97,18,7,14,34,1,0,14,NA
971000,40,95,17,5,11,37,1,0,16,8
525000,40,99,12,9,2,34,1,0,10,8
525000,40,106,12,12,13,30,1,0,10,12
670000,45,117,12,10,3,30,1,0,12,NA
5.00E+05,45,90,12,19,4,37,1,0,12,6
1058000,45,98,14,14,15,34,1,0,NA,NA
550000,46,95,12,18,15,35,1,0,12,11
5.00E+05,45,115,12,14,1,32,1,0,12,11
727000,55,106,15,10,5,31,0,0,12,12
865000,40,114,12,6,8,30,1,0,8,8
1081000,40,92,13,8,2,30,1,0,12,10
1304000,45,119,17,9,9,31,1,0,13,12
575000,40,85,13,6,1,30,1,0,13,12
623000,45,98,16,7,1,30,1,0,12,12
515000,45,114,13,8,10,28,1,0,12,12
1273000,55,84,18,14,4,37,1,0,8,12
990000,40,108,13,13,9,33,1,0,16,16
6.00E+05,40,107,12,16,6,33,1,0,8,4
1160000,40,84,12,17,2,38,1,0,16,12
5.00E+05,55,86,12,11,9,29,1,0,10,12
795000,45,88,12,17,18,35,1,0,10,12
5.00E+05,50,97,11,20,3,37,1,0,NA,NA
740000,50,84,10,23,13,38,1,0,NA,9
1250000,40,117,16,10,7,33,1,0,12,14
1014000,55,110,16,13,9,30,0,0,12,14
1250000,32,104,13,13,3,33,1,0,9,NA
913000,40,110,14,4,13,29,1,0,9,NA
1346000,40,99,16,9,8,30,1,0,11,12
445000,40,80,10,19,0,38,1,0,NA,NA
265000,40,101,12,18,2,37,1,0,NA,NA
1250000,40,117,14,7,1,28,1,0,12,12
1607000,56,108,13,7,9,36,1,0,NA,NA
1452000,35,69,16,12,15,38,1,1,10,10
1391000,50,109,12,14,8,32,1,1,11,9
821000,45,85,16,8,2,32,1,0,8,8
794000,40,114,16,9,7,29,1,0,11,9
5.00E+05,30,90,13,10,1,38,1,0,NA,NA
520000,50,107,18,6,3,29,1,0,12,14
1730000,50,117,18,12,12,37,1,0,12,8
1924000,50,112,18,9,10,38,1,0,16,18
1155000,60,106,18,10,2,37,1,0,14,18
2162000,40,116,15,9,4,31,1,0,12,17
923000,50,123,14,8,7,31,1,0,8,NA
1115000,40,118,16,12,13,33,1,0,8,NA
449000,36,91,12,7,2,30,0,0,NA,NA
1500000,40,103,12,10,11,34,1,0,12,7
826000,40,114,14,20,3,37,1,0,8,6
937000,40,102,12,16,8,35,1,0,12,6
978000,48,104,12,19,15,36,1,0,6,NA
1031000,40,112,14,14,12,33,0,0,14,12
1272000,40,107,12,10,1,30,1,0,12,12
1136000,50,117,14,16,12,34,1,0,12,12
8.00E+05,45,110,12,19,12,36,1,0,NA,NA
1339000,38,96,12,8,9,33,1,0,12,11
1063000,40,90,12,14,12,32,1,1,8,12
935000,44,97,12,10,6,29,1,0,8,7
808000,40,99,12,18,13,38,1,1,9,8
375000,40,99,10,12,2,30,1,0,8,5
537000,40,97,12,14,8,31,0,1,11,NA
1082000,55,95,12,11,4,29,1,1,11,NA
930000,40,126,14,10,1,31,0,0,8,NA
1155000,40,109,17,13,4,38,1,0,12,8
548000,40,86,11,7,0,33,1,1,11,NA
622000,45,119,16,12,1,33,1,0,12,12
841000,40,102,16,10,1,29,1,0,12,12
769000,55,105,18,7,15,38,0,0,9,5
587000,38,117,17,8,5,29,1,0,12,NA
1924000,45,112,16,17,18,38,1,0,12,12
1058000,40,89,12,7,3,29,1,0,8,6
417000,48,131,12,7,1,28,0,0,12,6
1202000,48,114,16,6,6,28,1,0,16,16
1154000,40,98,14,18,2,37,1,0,10,14
1070000,40,124,13,4,9,32,1,0,NA,NA
1202000,40,125,14,10,11,29,1,0,12,12
711000,45,100,18,13,3,36,1,0,10,16
1202000,40,84,14,6,5,31,1,1,11,9
850000,43,113,12,7,3,28,1,0,8,12
1.00E+06,40,102,16,13,11,35,1,0,10,12
490000,49,82,18,7,8,31,0,0,12,9
1.00E+06,40,112,14,15,4,35,1,0,12,10
865000,40,111,16,11,4,31,1,0,8,5
1375000,40,96,13,3,3,30,1,0,11,8
1586000,40,127,16,16,12,37,1,0,16,16
1602000,65,97,15,14,14,37,1,0,8,NA
3078000,65,120,14,12,13,36,1,0,12,NA
898000,40,101,16,7,9,35,0,0,16,14
906000,40,120,14,16,2,37,1,0,12,12
952000,40,99,13,10,10,31,1,1,8,10
571000,40,78,13,10,1,29,0,1,8,9
445000,45,110,12,15,13,32,0,0,5,11
289000,40,94,12,9,0,30,1,0,5,11
1444000,40,120,16,12,15,37,1,0,17,13
962000,55,108,12,19,21,36,1,0,8,8
1075000,40,103,12,17,10,33,1,0,11,11
909000,55,97,11,17,5,35,1,0,NA,NA
1250000,40,106,12,14,19,35,1,0,11,13
620000,40,99,11,10,5,29,1,1,NA,NA
1016000,40,72,10,14,15,37,1,1,11,NA
8.00E+05,40,88,10,21,14,37,1,1,11,8
1050000,40,119,16,7,18,37,0,0,12,13
1079000,50,87,12,18,9,36,1,0,8,NA
654000,50,121,17,12,13,34,1,0,11,12
781000,50,112,12,8,10,30,1,0,12,8
1038000,48,103,15,8,2,36,1,0,12,15
1924000,50,99,16,16,14,37,1,0,16,18
1202000,40,101,15,15,17,37,1,0,12,12
666000,70,117,15,8,2,32,1,0,NA,NA
905000,45,109,14,11,14,36,1,0,8,8
890000,70,73,12,6,8,31,1,0,12,12
817000,40,116,16,10,7,31,1,0,16,16
812000,40,98,12,10,2,29,0,0,12,12
577000,60,104,14,6,2,30,1,0,14,12
756000,40,78,14,9,2,31,1,0,12,12
1011000,40,104,12,20,7,37,1,0,NA,NA
1155000,45,85,12,14,1,34,1,0,12,12
1025000,40,104,12,12,7,29,1,0,12,10
1350000,40,107,12,17,12,35,1,0,NA,NA
1001000,40,109,12,20,22,37,1,0,8,10
796000,48,119,13,16,15,37,1,1,11,NA
1230000,50,96,13,11,12,30,1,0,10,11
754000,40,93,12,13,1,30,1,0,NA,NA
714000,40,90,12,17,1,37,1,0,12,12
1.00E+06,45,103,15,8,3,32,1,0,12,NA
2067000,40,106,16,12,13,33,1,0,14,12
912000,40,96,16,11,5,30,1,0,14,12
6.00E+05,40,114,12,8,5,30,1,0,8,8
951000,40,86,11,13,1,31,1,0,9,NA
711000,45,110,16,8,5,32,1,0,13,12
1151000,48,87,12,18,9,38,1,0,12,12
1.00E+06,40,89,12,9,5,28,1,0,13,12
841000,44,106,12,15,10,31,1,0,8,NA
4.00E+05,70,100,12,12,3,32,1,0,5,8
1175000,45,111,12,17,14,34,1,0,16,4
1202000,40,100,12,18,2,37,1,0,12,12
1442000,40,114,12,16,17,33,1,0,12,10
538000,55,98,18,5,1,34,1,0,13,NA
781000,40,89,11,13,10,30,1,0,9,8
750000,60,74,10,13,9,30,1,0,11,9
841000,48,110,18,13,1,37,0,1,12,12
7.00E+05,50,130,13,14,1,38,1,0,11,14
1346000,50,108,16,9,4,36,1,0,12,10
8.00E+05,45,98,12,16,12,33,1,0,10,8
1250000,40,125,16,9,10,30,1,0,16,NA
1105000,40,104,16,5,8,29,1,0,12,12
475000,52,98,14,12,1,30,0,0,8,10
762000,58,104,15,6,4,33,1,0,11,12
962000,40,120,12,18,19,36,1,0,8,8
721000,40,134,13,9,9,30,0,0,8,8
8.00E+05,50,92,9,18,13,34,1,0,8,8
658000,40,129,16,11,9,30,1,0,13,16
1270000,40,118,14,4,16,36,1,0,12,12
1313000,40,107,12,11,7,28,1,0,12,NA
824000,42,92,12,19,15,38,1,0,12,11
1442000,40,118,16,6,7,29,1,0,16,12
1400000,42,108,17,7,3,31,1,0,12,14
1038000,50,119,12,20,5,36,1,0,12,8
668000,43,109,12,11,12,29,1,0,8,7
1100000,40,91,12,18,10,36,1,0,8,8
1.00E+06,45,118,14,9,7,30,1,0,12,10
523000,43,119,13,9,2,30,1,0,14,NA
1111000,40,103,14,13,13,31,1,0,14,12
962000,40,120,16,6,4,28,1,0,12,8
729000,47,122,18,6,13,34,1,0,8,6
690000,40,119,12,9,5,28,1,0,8,NA
1010000,50,104,11,15,7,38,1,0,9,6
6.00E+05,40,96,11,7,2,29,1,0,8,8
596000,40,83,12,16,17,34,1,0,8,8
850000,44,115,12,11,1,29,1,0,NA,NA
670000,40,88,12,9,2,29,1,0,10,8
793000,40,96,12,17,18,36,1,0,8,8
1442000,40,123,17,14,7,38,1,0,12,6
670000,50,108,12,14,8,34,1,0,11,7
876000,45,116,16,10,8,29,1,0,12,12
841000,40,109,18,13,2,36,1,0,16,12
975000,40,97,13,8,0,31,1,0,12,12
1223000,40,107,12,7,3,28,1,0,12,10
910000,30,95,12,16,5,35,1,0,12,14
533000,45,109,15,8,2,30,1,0,15,12
750000,40,104,12,15,11,33,1,0,12,12
1206000,40,110,12,16,4,38,1,0,12,12
745000,40,94,13,17,1,36,0,0,13,8
9.00E+05,40,103,12,15,1,37,1,0,8,6
1170000,47,123,14,9,14,32,1,0,8,12
540000,50,113,12,12,3,31,1,0,6,12
550000,40,110,16,15,1,38,1,0,NA,NA
615000,40,100,14,9,4,30,1,0,12,12
909000,40,95,13,6,2,31,1,0,12,12
769000,40,100,12,18,12,36,1,0,8,8
984000,40,108,13,17,18,37,1,0,15,8
833000,60,101,12,15,12,37,1,0,12,NA
879000,70,90,12,17,10,35,0,0,12,16
1027000,45,115,12,16,7,35,1,0,8,5
1.00E+06,55,114,16,10,1,33,1,0,NA,NA
465000,43,84,13,10,1,29,1,0,11,11
1100000,40,92,13,21,12,38,1,1,12,NA
641000,45,125,14,9,0,37,1,0,12,11
1035000,48,107,12,21,14,38,1,0,11,8
1212000,40,129,14,9,3,32,0,0,8,9
950000,40,98,12,11,6,30,1,0,12,12
938000,44,108,12,19,20,38,1,0,8,NA
1250000,40,114,16,8,8,30,1,0,2,8
586000,60,111,18,6,10,34,1,0,12,11
693000,53,101,12,7,6,28,1,0,12,12
562000,40,99,12,18,12,34,0,0,12,12
375000,60,75,12,12,5,30,0,0,12,8
673000,40,91,12,7,11,38,1,0,6,NA
654000,50,113,17,1,13,33,1,0,12,10
692000,50,120,12,17,7,35,1,0,8,NA
1111000,40,98,14,10,1,29,1,0,12,15
1368000,45,107,16,11,1,33,1,0,16,16
1282000,45,121,18,7,13,32,1,0,12,12
1250000,60,115,11,19,4,38,1,0,NA,NA
1346000,40,134,15,15,7,35,1,0,12,10
1424000,50,96,17,15,12,37,1,0,NA,NA
854000,48,120,16,8,5,29,0,0,12,16
888000,50,105,15,9,5,32,0,0,12,10
1161000,50,121,12,5,10,34,1,0,10,NA
583000,58,113,16,9,0,30,1,0,12,9
1260000,45,106,12,5,3,29,1,0,12,13
947000,48,104,18,8,13,35,1,0,9,12
1850000,40,80,11,14,15,33,1,0,10,10
1575000,40,117,12,13,2,30,1,0,10,10
758000,38,126,16,10,8,28,0,0,12,12
1442000,40,112,12,19,15,36,1,0,10,8
489000,55,104,13,20,4,38,1,0,NA,NA
1126000,40,116,12,5,0,31,1,1,9,10
1.00E+06,40,70,12,12,5,32,0,1,8,8
5.00E+05,70,83,12,13,11,32,1,0,6,6
1200000,50,84,12,13,9,32,1,0,6,6
565000,45,82,10,15,3,33,1,0,NA,NA
1920000,40,109,12,13,2,31,1,0,12,8
684000,45,111,14,7,7,29,1,0,12,12
774000,40,94,12,20,4,37,1,0,12,7
233000,60,96,16,7,4,30,1,0,12,8
975000,40,101,13,12,10,30,1,0,12,13
1366000,40,90,12,13,1,30,1,0,12,12
2137000,40,120,16,16,3,37,1,0,12,12
7.00E+05,40,120,16,10,1,29,1,0,12,12
1200000,40,108,12,16,11,33,1,0,8,NA
1161000,40,99,13,16,18,36,1,0,12,8
729000,60,80,11,16,15,34,1,0,12,6
750000,45,93,11,17,2,36,1,0,10,5
1026000,45,85,12,4,16,38,1,0,NA,NA
1111000,45,118,15,11,3,32,1,0,11,10
625000,50,115,12,12,8,31,1,0,12,NA
1200000,42,119,16,11,5,30,1,0,10,11
1541000,40,94,12,8,1,32,1,0,12,11
1154000,40,109,16,12,9,34,1,0,13,16
310000,40,104,13,10,0,33,0,0,14,8
610000,50,89,12,14,4,30,1,0,7,6
1749000,43,101,12,16,17,36,1,0,12,8
1.00E+06,40,96,16,9,1,31,0,0,12,7
350000,40,109,12,14,1,36,1,0,9,7
765000,45,94,12,17,18,37,1,0,4,6
790000,40,115,12,15,2,34,1,0,6,5
818000,47,92,12,16,17,38,1,0,8,4
477000,60,71,9,12,1,30,1,0,11,5
938000,50,130,14,15,1,33,1,0,12,11
2099000,55,119,16,10,4,32,1,0,12,12
350000,40,74,12,14,3,32,1,0,10,13
940000,48,104,12,13,0,32,1,1,12,8
1202000,40,124,15,11,8,28,1,0,10,NA
450000,40,94,15,9,4,31,1,0,12,NA
1058000,40,120,16,16,13,37,1,0,12,4
